"","Category","dbID","siteID","SiteName","SubTitle","Lat","Lon","Desc","Sview","Sviewlat","Sviewlong","Heading","Zoom","Pitch","top","mapzoom","sponsor","Categ","ImageN","Image1","Image2","Image3","Image4"
"1","Fossils","1","C1","Limestone Islands","Giant Squids in Georgian Bay","45.39",-80.532,"The <a href=""/def/limestone"">Limestone</a> Islands are located off the eastern shore of Georgian Bay, near Franklin Island at the mouth of Parry Sound. They are remnants of <a href=""/def/paleozoic"">Paleozoic</a> <a href=""/def/limestone"">Limestone</a> that once covered much of the Canadian <a href=""/def/shield"">Shield</a>. Samuel de Champlain visited this area in 1615 and the Bay itself was named in 1820 after King George IV.","n",NA,NA,NA,NA,NA,"n",14,"",2,2,"sitePictures/c1a.png","sitePictures/c1b.png","sitePictures/c1c.png","sitePictures/c1d.png"
"2","Earth History","2","C2","Pancake Islands","Gneiss Banding Near Parry Sound","45.3405",-80.29283333,"The Pancake Islands are very aptly named, being flat low-lying islands just five minutes by boat from Killbear Provincial Park at the mouth of Parry Sound. The rocks here are banded <a href=""/def/gneiss"">Gneiss</a> and look like stirred bread dough, kinked and contorted into beautiful folds. They provide a graphic illustration of the processes that occurred more than 1 billion years ago some 20 kilometres below the Grenville Mountains.","n",NA,NA,NA,NA,NA,"n",15,"",1,1,"sitePictures/c2a.png","sitePictures/c2b.png","sitePictures/c2c.png","sitePictures/c2d.png"
"3","Historic","3","C3","Depot Harbor","Ghost of The Great Lake","45.317",-80.09716667,"Ontario has many abandoned ghost towns which were once thriving lumbering and mining communities. One of the most impressive is Depot Harbour on Parry Island, just west of Parry Sound.","n",NA,NA,NA,NA,NA,"n",15,"",3,NA,"sitePictures/c3a.png","sitePictures/c3b.png","sitePictures/c3c.png","sitePictures/c3d.png"
"4","Earth History","4","C4","Parry Sound Shear Zone","Hock Rocks at the Base of The Earth's Crust","45.382778",-80.039438,"During the Grenville <a href=""/def/orogeny"">Orogeny</a>, when early North America collided with South America, the intense collision shoved large pieces of the earth's<a href=""/def/_crust ""> Crust </a>on top of each other, deforming, cooking, and stretching rocks into highly metamorphosed <a href=""/def/gneiss"">Gneiss</a> (See Site <a href=""/C11"">C11</a>). Highway 400 near Parry Sound traverses the contact between one slab and another, exposing what is known as the ""Parry Sound Shear Zone.""","y",NA,NA,291.64,0,-1.3,"y",16,"",1,1,"sitePictures/c4a.png","sitePictures/c4b.png","sitePictures/c4c.png","sitePictures/c4d.png"
"5","Rocks and Minerals","5","C5","Ontario's Anorthosites","Fly Me to the Moon","45.37",-80.025,"You don't need to go to the moon to see its rocks. In fact, you can see them right here in Ontario. <a href=""/def/anorthosite"">Anorthosite</a> is one of the rocks that formed on the moon very early in its history. Here on Earth, <a href=""/def/anorthosite"">Anorthosite</a> is rare but <a href=""/def/outcrops"">Outcrops</a> of this distinctive rock occur near Parry Sound along Highway 400. You might never walk on the moon but you can hold a piece of <a href=""/def/anorthosite"">Anorthosite</a> and pretend you have.","y",45.369548,-80.024462,83,0,-8.97,"n",15,"",5,1,"sitePictures/c5a.png","sitePictures/c5b.png","sitePictures/c5c.png","sitePictures/c5d.png"
"6","Earth History","6","C6","30,000 Islands","Gneiss Scenery in Georgian Bay","44.87133333",-79.81583333,"The Thirty Thousand Islands is the name given to the largest archipelago of freshwater islands in the world, extending over 250 kilometres of rock-strewn coastline on the eastern side of Georgian Bay between the French River in the north and Honey Harbour in the south. Strikingly beautiful <a href=""/def/outcrops"">Outcrops</a> of complexly folded billion-year-old <a href=""/def/gneiss"">Gneiss</a> dominate these remote rocky islands and their wind bent stands of white pines. The low-lying islands appear to dissolve into the sky and lake water, creating the surreal and eerie landscape immortalized by the Group of Seven. The area has been named a UNESCO World <a href=""/def/biosphere"">Biosphere</a> Reserve for its aquatic and terrestrial habitats but its geology is no less worthy of global note as it records the deep roots of billion year old mountains that dwarfed the Himalayas. The 30,000 islands area is most easily accessible from Honey Harbor in the south and Parry Sound in the north.","n",NA,NA,NA,NA,NA,"y",13,"",1,NA,"sitePictures/c6a.png","sitePictures/c6b.png","sitePictures/c6c.png","sitePictures/c6d.png"
"7","Earth History","7","C7","Dikes","Geology's Jackson Pollock","45.346822",-80.005161,"The mighty Grenville Mountains are no more; all that remains are their deep roots exposed in the Central <a href=""/def/gneiss"">Gneiss</a> Belt of central Ontario's <a href=""/def/shield"">Shield</a> country. Thousands upon thousands of bright orange- coloured <a href=""/def/granite"">Granite</a> dikes are a striking feature of these rocks. Take a drive up to the <a href=""/def/shield"">Shield</a> and you'll notice them immediately. Other dikes are composed of dark coloured <a href=""/def/igneous_rocks"">Igneous rocks</a> such as <a href=""/def/diabase"">Diabase</a> (<a href=""/N34"">N34</a>, <a href=""/N51"">N51</a>).","y",NA,NA,31.04,0,-7.55,"n",15,"",1,1,"sitePictures/c7a.png","sitePictures/c7b.png","sitePictures/c7c.png","sitePictures/c7d.png"
"8","Earth History","8","C8","The Great Gneiss Road","Seeing the Roots of the Grenville Mountains","45.250999",-79.831864,"Between Barrie and Parry Sound, the newly widened Highway 400/69 cuts a slice through the one billion year old Central <a href=""/def/gneiss"">Gneiss</a> Belt - one of the geological wonders of the world. As you drive north, beautiful pink-coloured rock suddenly appears near Waubaushene, replacing the flat-lying white <a href=""/def/limestone"">Limestone</a> to the south. Here, bright orange dikes of <a href=""/def/granite"">Granite</a> pierce beautifully striped grey, black, and often complexly folded <a href=""/def/gneiss"">Gneiss</a>. Not only are the rocks visually impressive, they also provide a rare glimpse into geological forms and processes that occurred deep below the colossal mountain range that was here one billion years ago.","y",NA,NA,221.53,0,-2.2,"n",16,"",1,NA,"sitePictures/c8a.png","sitePictures/c8b.png","sitePictures/c8c.png","sitePictures/c8d.png"
"9","Rocks and Minerals","9","C9","Bala","","45.012526",-79.614567,"A plaque at the intersection of highways 38 and 169 in Bala (Site <a href=""/C9"">C9</a>) commemorates the <a href=""/def/shield"">Shield</a>'s significance. And the best way to truly appreciate the <a href=""/def/shield"">Shield</a>'s flat <a href=""/def/topography"">Topography</a> is from on high - especially from the viewing deck on top of the Dorset Lookout Tower (Site <a href=""/C17"">C17</a>).","y",NA,NA,121.39,0,-0.24,"n",16,"",5,NA,"sitePictures/c9a.png","sitePictures/c9b.png","sitePictures/c9c.png","sitePictures/c9d.png"
"10","Earth History","10","C10","Star Struck at Torrance Barrens","","44.944101",-79.52011,"Many city dwellers have never seen a truly starry night sky. The light pollution from urban areas obscures our natural view of stars, star clusters, nebulas, planets, galaxies, and the Northern Lights. The Ontario government created the world's first Dark Sky Reserve in 1991 at Torrance Barrens, on the wonderfully twisty Highway 13 some 10 kilometres west of Gravenhurst. Here, the night time view is truly spectacular.","n",NA,NA,NA,NA,NA,"n",15,"",1,NA,"sitePictures/c10a.png","sitePictures/c10b.png","sitePictures/c10c.png","sitePictures/c10d.png"
